# CoordinateSystem: GEOGCS["WGS 84",DATUM["World Geodetic System 1984",SPHEROID["WGS 84",6378137,298.257223563,AUTHORITY["EPSG","7030"]],TOWGS84[0,0,0,0,0,0,0],AUTHORITY["EPSG","6326"]],PRIMEM["Greenwich",0,AUTHORITY["EPSG","8901"]],UNIT["degree",0.01745329251994328,AUTHORITY["EPSG","9102"]],AUTHORITY["EPSG","4326"]]
#Label,X/Longitude,Y/Latitude,Z/Altitude,Yaw,Pitch,Roll,Error_(m),X_error,Y_error,Z_error,Error_(deg),Yaw_error,Pitch_error,Roll_error,X_est,Y_est,Z_est,Yaw_est,Pitch_est,Roll_est
DJI_0035.JPG,-116.712082,43.168842,1380.138000,90.100000,0.000000,-0.000000,2.820044,1.960342,-1.903001,0.698779,1.778642,1.343358,1.161642,-0.097682,-116.712058,43.168825,1380.836779,91.443358,1.161642,-0.097682
DJI_0036.JPG,-116.712033,43.168841,1380.038000,90.300000,0.000000,-0.000000,2.300717,1.044738,-1.838080,0.907349,1.551659,1.137878,1.041730,-0.166369,-116.712020,43.168825,1380.945348,91.437878,1.041730,-0.166369
DJI_0037.JPG,-116.712033,43.168767,1380.138000,263.200000,0.000000,-0.000000,1.859429,0.765435,-1.685171,-0.178282,1.426822,0.750100,-1.188642,0.245562,-116.712023,43.168752,1379.959718,263.950100,-1.188642,0.245562
DJI_0038.JPG,-116.712099,43.168770,1379.838000,268.600000,0.100000,-0.000000,1.832949,0.923783,-1.581011,-0.082032,2.572977,2.278223,-1.185582,0.155909,-116.712087,43.168756,1379.755968,270.878223,-1.085582,0.155909
DJI_0039.JPG,-116.712149,43.168768,1380.038000,269.200000,0.000000,-0.000000,1.573218,-0.224395,-1.552847,0.115439,2.674896,2.487979,-0.979265,0.077915,-116.712152,43.168754,1380.153439,271.687979,-0.979265,0.077915
DJI_0040.JPG,-116.712196,43.168768,1380.038000,269.500000,0.000000,-0.000000,1.852832,-1.158281,-1.428519,0.225176,2.910419,2.805301,-0.774462,0.032120,-116.712210,43.168756,1380.263176,272.305301,-0.774462,0.032120
DJI_0041.JPG,-116.712268,43.168769,1380.038000,269.700000,0.000000,-0.000000,1.436755,-0.181069,-1.384744,0.337583,3.294275,3.267058,-0.421806,0.025675,-116.712271,43.168757,1380.375582,272.967058,-0.421806,0.025675
DJI_0042.JPG,-116.712317,43.168769,1380.038000,269.800000,0.000000,-0.000000,1.733454,-1.115690,-1.247588,0.451245,3.689422,3.675842,-0.315877,-0.015568,-116.712331,43.168758,1380.489245,273.475842,-0.315877,-0.015568
DJI_0043.JPG,-116.712388,43.168771,1380.138000,269.900000,0.000000,-0.000000,1.293426,-0.259487,-1.212385,0.368432,4.258852,4.202209,-0.690950,-0.042967,-116.712391,43.168760,1380.506431,274.102209,-0.690950,-0.042967
DJI_0044.JPG,-116.712436,43.168770,1380.038000,269.900000,0.000000,-0.000000,1.710379,-1.142822,-1.207780,0.400775,4.702168,4.654087,-0.667886,-0.061560,-116.712450,43.168759,1380.438775,274.554087,-0.667886,-0.061560
DJI_0045.JPG,-116.712507,43.168769,1380.138000,269.900000,0.000000,-0.000000,1.250843,-0.001169,-1.175062,0.428762,5.218498,5.216577,0.113404,-0.084781,-116.712507,43.168759,1380.566761,275.116577,0.113404,-0.084781
DJI_0046.JPG,-116.712553,43.168769,1380.138000,270.000000,0.000000,-0.000000,1.605419,-0.951312,-1.196934,0.489619,5.733882,5.724439,0.320249,-0.075109,-116.712564,43.168759,1380.627619,275.724439,0.320249,-0.075109
DJI_0047.JPG,-116.712623,43.168769,1380.038000,270.100000,0.000000,-0.000000,1.231133,0.015835,-1.111632,0.528878,6.148035,6.124298,0.535435,-0.067976,-116.712623,43.168759,1380.566878,276.224298,0.535435,-0.067976
DJI_0048.JPG,-116.712671,43.168768,1380.138000,270.200000,0.000000,-0.000000,1.400366,-0.858369,-1.034110,0.393502,6.459898,6.443317,0.451161,-0.101964,-116.712682,43.168759,1380.531502,276.643317,0.451161,-0.101964
DJI_0049.JPG,-116.712744,43.168769,1380.138000,270.300000,0.000000,-0.000000,1.143869,0.114733,-1.060251,0.413692,6.809592,6.802987,0.288678,-0.081082,-116.712742,43.168760,1380.551692,277.102987,0.288678,-0.081082
DJI_0050.JPG,-116.712795,43.168770,1380.138000,270.200000,0.000000,-0.000000,1.313001,-0.723289,-1.055559,0.294314,7.155640,7.136258,0.521739,-0.069223,-116.712803,43.168761,1380.432314,277.336258,0.521739,-0.069223
DJI_0051.JPG,-116.712866,43.168770,1380.038000,270.200000,0.000000,-0.000000,1.086085,0.239592,-1.002334,0.342785,7.446725,7.441283,0.278444,-0.059018,-116.712863,43.168761,1380.380785,277.641283,0.278444,-0.059018
DJI_0052.JPG,-116.712913,43.168770,1380.038000,270.200000,0.000000,-0.000000,1.348264,-0.838771,-0.953701,0.452475,7.843271,7.842438,0.106955,-0.040190,-116.712924,43.168762,1380.490475,278.042438,0.106955,-0.040190
DJI_0053.JPG,-116.712986,43.168771,1380.138000,270.200000,0.000000,-0.000000,0.986012,0.178149,-0.882331,0.402460,8.135621,8.135375,-0.025077,-0.058051,-116.712983,43.168763,1380.540460,278.335375,-0.025077,-0.058051
DJI_0054.JPG,-116.713033,43.168771,1380.038000,270.300000,0.000000,-0.000000,1.335517,-0.842912,-0.870030,0.562275,8.374335,8.369710,-0.276653,-0.030094,-116.713044,43.168763,1380.600275,278.669710,-0.276653,-0.030094
DJI_0055.JPG,-116.713154,43.168771,1380.038000,270.300000,0.000000,-0.000000,1.415515,-0.887468,-0.919993,0.608026,8.883928,8.867203,-0.542207,-0.053903,-116.713165,43.168763,1380.646026,279.167203,-0.542207,-0.053903
DJI_0056.JPG,-116.713224,43.168773,1380.038000,270.300000,0.000000,-0.000000,1.116477,0.140320,-0.933139,0.596725,9.088059,9.071361,-0.546649,-0.066362,-116.713223,43.168764,1380.634725,279.371361,-0.546649,-0.066362
DJI_0057.JPG,-116.713273,43.168773,1380.038000,270.300000,0.000000,-0.000000,1.414655,-0.643379,-1.011766,0.750761,9.370323,9.369027,-0.118455,-0.101273,-116.713281,43.168764,1380.788761,279.669027,-0.118455,-0.101273
